Economy,Original Group,Group,GDP PPP (B),GDPxr (B),Expenditure Per Capita,ExPCxr,Price Level index,Expenditure Per Capita Index by World,Expenditure Per Capita Index by World XR,Expenditure Per Capita Index by USA,Expenditure Per Capita Index by USA XR,Expenditure Share,Expenditure Share XR,Population Share,PPP,Exchange Rate,Population (M),Local Expenditure (B)
China,ASIA AND THE PACIFIC,Asia,$13496,$7322,$10057,$5456,70,74.7,52.3,20.2,11,14.9,10.4,19.9,3.506,6.461,1341.98,47310.4
Fiji,ASIA AND THE PACIFIC,Asia,$7,$4,$7558,$4393,75,56.1,42.1,15.2,8.8,0,0,0,1.042,1.793,0.85,6.7
Hong Kong SAR China,ASIA AND THE PACIFIC,Asia,$355,$249,$50129,$35173,90.5,372.4,337,100.7,70.7,0.4,0.4,0.1,5.462,7.784,7.07,1936.1
India,ASIA AND THE PACIFIC,Asia,$5758,$1864,$4735,$1533,41.7,35.2,14.7,9.5,3.1,6.4,2.7,18.1,15.109,46.67,1215.96,86993.1
Indonesia,ASIA AND THE PACIFIC,Asia,$2058,$846,$8539,$3511,53,63.4,33.6,17.2,7.1,2.3,1.2,3.6,3606.566,8770.433,241.04,7422781.2
Lao PDR,ASIA AND THE PACIFIC,Asia,$26,$8,$4108,$1262,39.6,30.5,12.1,8.3,2.5,0,0,0.1,2467.753,8030.055,6.39,64727.1
Macao SAR China,ASIA AND THE PACIFIC,Asia,$64,$37,$115441,$66063,73.8,857.6,632.9,231.9,132.7,0.1,0.1,0,4.589,8.018,0.56,295
Malaysia,ASIA AND THE PACIFIC,Asia,$606,$289,$20926,$9979,61.5,155.5,95.6,42,20,0.7,0.4,0.4,1.459,3.06,28.96,884.5
Maldives,ASIA AND THE PACIFIC,Asia,$4,$2,$11392,$6653,75.3,84.6,63.7,22.9,13.4,0,0,0,8.527,14.602,0.33,31.6
Mongolia,ASIA AND THE PACIFIC,Asia,$23,$10,$8719,$3701,54.7,64.8,35.5,17.5,7.4,0,0,0,537.127,1265.516,2.68,12546.8
Myanmar,ASIA AND THE PACIFIC,Asia,$192,$55,$3181,$914,37,23.6,8.8,6.4,1.8,0.2,0.1,0.9,234.974,817.917,60.38,45128
Nepal,ASIA AND THE PACIFIC,Asia,$59,$20,$2221,$739,42.9,16.5,7.1,4.5,1.5,0.1,0,0.4,24.628,74.02,26.49,1449.5
Pakistan,ASIA AND THE PACIFIC,Asia,$788,$222,$4450,$1255,36.4,33.1,12,8.9,2.5,0.9,0.3,2.6,24.346,86.343,177.11,19187.9
Philippines,ASIA AND THE PACIFIC,Asia,$544,$224,$5772,$2379,53.2,42.9,22.8,11.6,4.8,0.6,0.3,1.4,17.854,43.313,94.19,9706.3
Singapore,ASIA AND THE PACIFIC,Asia,$375,$266,$72296,$51242,91.4,537.1,490.9,145.2,102.9,0.4,0.4,0.1,0.891,1.258,5.18,334.1
Sri Lanka,ASIA AND THE PACIFIC,Asia,$169,$59,$8111,$2836,45.1,60.3,27.2,16.3,5.7,0.2,0.1,0.3,38.654,110.565,20.87,6542.7
Taiwan China,ASIA AND THE PACIFIC,Asia,$907,$465,$39059,$20030,66.1,290.2,191.9,78.5,40.2,1,0.7,0.3,15.112,29.469,23.22,13709.1
Thailand,ASIA AND THE PACIFIC,Asia,$899,$365,$13299,$5395,52.3,98.8,51.7,26.7,10.8,1,0.5,1,12.37,30.492,67.6,11120.5
Vietnam,ASIA AND THE PACIFIC,Asia,$414,$136,$4717,$1543,42.2,35,14.8,9.5,3.1,0.5,0.2,1.3,6709.192,20509.75,87.84,2779880.2
ASIA AND THE PACIFIC,WORLD,World,$27236,$12604,$7621,$3527,59.7,56.6,33.8,15.3,7.1,30,17.9,53.1,,,3573.72,
Armenia,COMMONWEALTH OF INDEPENDENT STATES,Other,$20,$10,$6696,$3363,64.8,49.7,32.2,13.5,6.8,0,0,0,187.095,372.501,3.02,3777.9
Azerbaijan,COMMONWEALTH OF INDEPENDENT STATES,Other,$145,$66,$15963,$7285,58.8,118.6,69.8,32.1,14.6,0.2,0.1,0.1,0.36,0.79,9.05,52.1
Belarus,COMMONWEALTH OF INDEPENDENT STATES,Other,$157,$53,$16603,$5596,43.5,123.3,53.6,33.4,11.2,0.2,0.1,0.1,1889.308,5605.84,9.47,297157.7
Kazakhstan,COMMONWEALTH OF INDEPENDENT STATES,Other,$344,$188,$20772,$11358,70.5,154.3,108.8,41.7,22.8,0.4,0.3,0.2,80.171,146.62,16.56,27571.936
Kyrgyzstan,COMMONWEALTH OF INDEPENDENT STATES,Other,$16,$6,$3062,$1178,49.6,22.7,11.3,6.2,2.4,0,0,0.1,17.757,46.144,5.26,286
Moldova,COMMONWEALTH OF INDEPENDENT STATES,Other,$15,$7,$4179,$1971,60.8,31,18.9,8.4,4,0,0,0.1,5.535,11.739,3.56,82.3
Russian Federation,COMMONWEALTH OF INDEPENDENT STATES,Other,$3217,$1901,$22502,$13298,76.2,167.2,127.4,45.2,26.7,3.5,2.7,2.1,17.346,29.352,142.96,55799.6
Tajikistan,COMMONWEALTH OF INDEPENDENT STATES,Other,$17,$7,$2243,$846,48.7,16.7,8.1,4.5,1.7,0,0,0.1,1.74,4.61,7.71,30.1
Ukraine,COMMONWEALTH OF INDEPENDENT STATES,Other,$379,$163,$8295,$3575,55.6,61.6,34.3,16.7,7.2,0.4,0.2,0.7,3.434,7.968,45.71,1302.1
COMMONWEALTH OF INDEPENDENT STATES,WORLD,World,$4310,$2401,$17716,$9870,71.8,131.6,94.6,35.6,19.8,4.8,3.4,3.6,,,243.29,
Albania,EUROSTAT-OECD,Eurostat,$28,$13,$9963,$4467,57.8,74,42.8,20,9,0,0,0,45.452,101.372,2.83,1282.3
Australia,EUROSTAT-OECD,Eurostat,$956,$1490,$42000,$65464,201,312,627.2,84.4,131.5,1.1,2.1,0.3,1.511,0.969,22.76,1444.5
Austria,EUROSTAT-OECD,Eurostat,$361,$416,$42978,$49590,148.8,319.3,475.1,86.3,99.6,0.4,0.6,0.1,0.83,0.719,8.39,299.2
Belgium,EUROSTAT-OECD,Eurostat,$440,$513,$40093,$46759,150.4,297.9,448,80.5,93.9,0.5,0.7,0.2,0.839,0.719,10.98,369.3
Bosnia and Herzegovina,EUROSTAT-OECD,Eurostat,$37,$19,$9629,$4957,66.4,71.5,47.5,19.3,10,0,0,0.1,0.724,1.407,3.84,26.8
Bulgaria,EUROSTAT-OECD,Eurostat,$114,$54,$15522,$7284,60.5,115.3,69.8,31.2,14.6,0.1,0.1,0.1,0.66,1.407,7.35,75.3
Canada,EUROSTAT-OECD,Eurostat,$1416,$1778,$41069,$51572,161.9,305.1,494.1,82.5,103.6,1.6,2.5,0.5,1.243,0.99,34.48,1759.7
Chile,EUROSTAT-OECD,Eurostat,$349,$251,$20216,$14546,92.8,150.2,139.4,40.6,29.2,0.4,0.4,0.3,348.017,483.668,17.27,121492.7
Croatia,EUROSTAT-OECD,Eurostat,$87,$62,$20308,$14429,91.6,150.9,138.2,40.8,29,0.1,0.1,0.1,3.802,5.351,4.28,330.2
Cyprus,EUROSTAT-OECD,Eurostat,$27,$25,$31229,$29208,120.6,232,279.8,62.7,58.7,0,0,0,0.673,0.719,0.85,17.9
Czech Republic,EUROSTAT-OECD,Eurostat,$284,$216,$27045,$20592,98.2,200.9,197.3,54.3,41.4,0.3,0.3,0.2,13.468,17.689,10.5,3823.4
Denmark,EUROSTAT-OECD,Eurostat,$233,$334,$41843,$60030,185,310.9,575.1,84.1,120.6,0.3,0.5,0.1,7.689,5.36,5.57,1791.8
Estonia,EUROSTAT-OECD,Eurostat,$31,$23,$23088,$16821,93.9,171.5,161.1,46.4,33.8,0,0,0,0.524,0.719,1.34,16.2
Finland,EUROSTAT-OECD,Eurostat,$208,$262,$38611,$48686,162.6,286.8,466.4,77.6,97.8,0.2,0.4,0.1,0.907,0.719,5.39,188.7
France,EUROSTAT-OECD,Eurostat,$2370,$2782,$36391,$42728,151.4,270.4,409.3,73.1,85.8,2.6,4,1,0.845,0.719,65.11,2001.4
Germany,EUROSTAT-OECD,Eurostat,$3352,$3628,$40990,$44365,139.6,304.5,425,82.3,89.1,3.7,5.2,1.2,0.779,0.719,81.78,2609.9
Greece,EUROSTAT-OECD,Eurostat,$301,$290,$26622,$25654,124.3,197.8,245.8,53.5,51.5,0.3,0.4,0.2,0.693,0.719,11.3,208.5
Hungary,EUROSTAT-OECD,Eurostat,$224,$138,$22413,$13790,79.3,166.5,132.1,45,27.7,0.2,0.2,0.1,123.65,200.966,9.97,27635.4
Iceland,EUROSTAT-OECD,Eurostat,$12,$14,$38226,$43969,148.3,284,421.2,76.8,88.3,0,0,0,133.563,116.118,0.32,1628.7
